,Item #,Part #,List Price,Frame Rating,Amp Rating,Breaking Capacity,Performance %,Trip Unit,240V kAIC,480V kAIC,Labor Units
,02090162UL,UTS250NT FTU 225A 3P LO UL,"$2,558.96 ",250,225A,NT,100,FTU,65,35,2
,02090163UL,UTS250NT FTU 250A 3P LO UL,"$2,558.96 ",250,250A,NT,100,FTU,65,35,2
,02090167UL,UTS250NT ATU 160A 3P LO UL,"$3,058.51 ",250,160A,NT,100,ATU,65,35,2
,02090168UL,UTS250NT ATU 200A 3P LO UL,"$3,058.51 ",250,200A,NT,100,ATU,65,35,2
,02090169UL,UTS250NT ATU 250A 3P LO UL,"$3,058.51 ",250,250A,NT,100,ATU,65,35,2
,02090203UL,UTS250HT FTU 150A 3P LO UL,"$2,874.65 ",250,150A,HT,100,FTU,100,65,2
,02090204UL,UTS250HT FTU 175A 3P LO UL,"$2,874.65 ",250,175A,HT,100,FTU,100,65,2
,02090205UL,UTS250HT FTU 200A 3P LO UL,"$2,874.65 ",250,200A,HT,100,FTU,100,65,2
,02090206UL,UTS250HT FTU 225A 3P LO UL,"$2,874.65 ",250,225A,HT,100,FTU,100,65,2
,02090207UL,UTS250HT FTU 250A 3P LO UL,"$2,874.65 ",250,250A,HT,100,FTU,100,65,2
,02090211UL,UTS250HT ATU 160A 3P LO UL,"$3,720.47 ",250,160A,HT,100,ATU,100,65,2
,02090212UL,UTS250HT ATU 200A 3P LO UL,"$3,720.47 ",250,200A,HT,100,ATU,100,65,2
,02090213UL,UTS250HT ATU 250A 3P LO UL,"$3,720.47 ",250,250A,HT,100,ATU,100,65,2
,02090247UL,UTS250LT FTU 150A 3P LO UL,"$3,541.18 ",250,150A,LT,100,FTU,100,100,2
,02090248UL,UTS250LT FTU 175A 3P LO UL,"$3,541.18 ",250,175A,LT,100,FTU,100,100,2
,02090249UL,UTS250LT FTU 200A 3P LO UL,"$3,541.18 ",250,200A,LT,100,FTU,100,100,2
,02090250UL,UTS250LT FTU 225A 3P LO UL,"$3,541.18 ",250,225A,LT,100,FTU,100,100,2
,02090251UL,UTS250LT FTU 250A 3P LO UL,"$3,541.18 ",250,250A,LT,100,FTU,100,100,2
,02090255UL,UTS250LT ATU 160A 3P LO UL,"$4,115.89 ",250,160A,LT,100,ATU,100,100,2
,02090256UL,UTS250LT ATU 200A 3P LO UL,"$4,115.89 ",250,200A,LT,100,ATU,100,100,2
,02090257UL,UTS250LT ATU 250A 3P LO UL,"$4,115.89 ",250,250A,LT,100,ATU,100,100,2
,02090753UL,UTS250N ETS23 LSI 250A 3P LO UL,"$3,798.39 ",250,250A,N,80,ETS23,65,35,2
,02090754UL,UTS250N ETS23 LSI 150A 3P LO UL,"$3,798.39 ",250,150A,N,80,ETS23,65,35,2
,02090761UL,UTS250H ETS23 LSI 250A 3P LO UL,"$4,027.06 ",250,250A,H,80,ETS23,100,65,2
,02090762UL,UTS250H ETS23 LSI 150A 3P LO UL,"$4,027.06 ",250,150A,H,80,ETS23,100,65,2
,02090769UL,UTS250L ETS23 LSI 250A 3P LO UL,"$4,304.22 ",250,250A,L,80,ETS23,100,100,2
,02090770UL,UTS250L ETS23 LSI 150A 3P LO UL,"$4,304.22 ",250,150A,L,80,ETS23,100,100,2
,02090777UL,UTS250NT ETS23 LSI 250A 3P LO UL,"$4,216.16 ",250,250A,NT,100,ETS23,65,35,2
,02090778UL,UTS250NT ETS23 LSI 150A 3P LO UL,"$4,216.16 ",250,150A,NT,100,ETS23,65,35,2
,02090785UL,UTS250HT ETS23 LSI 250A 3P LO UL,"$4,470.02 ",250,250A,HT,100,ETS23,100,65,2
,02090786UL,UTS250HT ETS23 LSI 150A 3P LO UL,"$4,470.02 ",250,150A,HT,100,ETS23,100,65,2
,02090793UL,UTS250LT ETS23 LSI 250A 3P LO UL,"$4,777.67 ",250,250A,LT,100,ETS23,100,100,2
,02090794UL,UTS250LT ETS23 LSI 150A 3P LO UL,"$4,777.67 ",250,150A,LT,100,ETS23,100,100,2
UTS400,02110017UL,UTS400N FTU 250A 3P LO UL,"$4,365.82 ",400,250A,N,80,FTU,65,35,2
,02110018UL,UTS400N FTU 300A 3P LO UL,"$4,365.82 ",400,300A,N,80,FTU,65,35,2
,02110019UL,UTS400N FTU 350A 3P LO UL,"$4,365.82 ",400,350A,N,80,FTU,65,35,2
,02110020UL,UTS400N FTU 400A 3P LO UL,"$4,365.82 ",400,400A,N,80,FTU,65,35,2
,02110023UL,UTS400N ATU 300A 3P LO UL,"$5,165.35 ",400,300A,N,80,ATU,65,35,2
,02110024UL,UTS400N ATU 400A 3P LO UL,"$5,165.35 ",400,400A,N,80,ATU,65,35,2
,02110049UL,UTS400H FTU 250A 3P LO UL,"$4,889.62 ",400,250A,H,80,FTU,100,65,2
,02110050UL,UTS400H FTU 300A 3P LO UL,"$4,889.62 ",400,300A,H,80,FTU,100,65,2
,02110051UL,UTS400H FTU 350A 3P LO UL,"$4,889.62 ",400,350A,H,80,FTU,100,65,2
,02110052UL,UTS400H FTU 400A 3P LO UL,"$4,889.62 ",400,400A,H,80,FTU,100,65,2
,02110055UL,UTS400H ATU 300A 3P LO UL,"$6,215.69 ",400,300A,H,80,ATU,100,65,2
,02110056UL,UTS400H ATU 400A 3P LO UL,"$6,215.69 ",400,400A,H,80,ATU,100,65,2
,02110081UL,UTS400L FTU 250A 3P LO UL,"$6,012.40 ",400,250A,L,80,FTU,100,100,2
,02110082UL,UTS400L FTU 300A 3P LO UL,"$6,012.40 ",400,300A,L,80,FTU,100,100,2
,02110083UL,UTS400L FTU 350A 3P LO UL,"$6,012.40 ",400,350A,L,80,FTU,100,100,2
,02110084UL,UTS400L FTU 400A 3P LO UL,"$6,012.40 ",400,400A,L,80,FTU,100,100,2
,02110087UL,UTS400L ATU 300A 3P LO UL,"$7,484.70 ",400,300A,L,80,ATU,100,100,2
,02110088UL,UTS400L ATU 400A 3P LO UL,"$7,484.70 ",400,400A,L,80,ATU,100,100,2
,02110117UL,UTS400NT FTU 250A 3P LO UL,"$4,802.28 ",400,250A,NT,100,FTU,65,35,2
,02110118UL,UTS400NT FTU 300A 3P LO UL,"$4,802.28 ",400,300A,NT,100,FTU,65,35,2
,02110119UL,UTS400NT FTU 350A 3P LO UL,"$4,802.28 ",400,350A,NT,100,FTU,65,35,2
,02110120UL,UTS400NT FTU 400A 3P LO UL,"$4,802.28 ",400,400A,NT,100,FTU,65,35,2
,02110123UL,UTS400NT ATU 300A 3P LO UL,"$5,681.96 ",400,300A,NT,100,ATU,65,35,2
,02110124UL,UTS400NT ATU 400A 3P LO UL,"$5,681.96 ",400,400A,NT,100,ATU,65,35,2
,02110149UL,UTS400HT FTU 250A 3P LO UL,"$5,378.46 ",400,250A,HT,100,FTU,100,65,2
,02110150UL,UTS400HT FTU 300A 3P LO UL,"$5,378.46 ",400,300A,HT,100,FTU,100,65,2
,02110151UL,UTS400HT FTU 350A 3P LO UL,"$5,378.46 ",400,350A,HT,100,FTU,100,65,2
,02110152UL,UTS400HT FTU 400A 3P LO UL,"$5,378.46 ",400,400A,HT,100,FTU,100,65,2
,02110155UL,UTS400HT ATU 300A 3P LO UL,"$6,837.32 ",400,300A,HT,100,ATU,100,65,2
,02110156UL,UTS400HT ATU 400A 3P LO UL,"$6,837.32 ",400,400A,HT,100,ATU,100,65,2
,02110181UL,UTS400LT FTU 250A 3P LO UL,"$6,613.54 ",400,250A,LT,100,FTU,100,100,2
,02110182UL,UTS400LT FTU 300A 3P LO UL,"$6,613.54 ",400,300A,LT,100,FTU,100,100,2
,02110183UL,UTS400LT FTU 350A 3P LO UL,"$6,613.54 ",400,350A,LT,100,FTU,100,100,2
,02110184UL,UTS400LT FTU 400A 3P LO UL,"$6,613.54 ",400,400A,LT,100,FTU,100,100,2
,02110187UL,UTS400LT ATU 300A 3P LO UL,"$8,233.33 ",400,300A,LT,100,ATU,100,100,2
,02110188UL,UTS400LT ATU 400A 3P LO UL,"$8,233.33 ",400,400A,LT,100,ATU,100,100,2
,02110753UL,UTS400N ETS33 LSI 400A 3P LO UL,"$7,055.99 ",400,400A,N,80,ETS33,65,35,2
,02110754UL,UTS400N ETS33 LSI 250A 3P LO UL,"$7,055.99 ",400,250A,N,80,ETS33,65,35,2
,02110761UL,UTS400H ETS33 LSI 400A 3P LO UL,"$7,400.55 ",400,400A,H,80,ETS33,100,65,2
,02110762UL,UTS400H ETS33 LSI 250A 3P LO UL,"$7,400.55 ",400,250A,H,80,ETS33,100,65,2
,02110769UL,UTS400L ETS33 LSI 400A 3P LO UL,"$8,609.88 ",400,400A,L,80,ETS33,100,100,2
,02110770UL,UTS400L ETS33 LSI 250A 3P LO UL,"$8,609.88 ",400,250A,L,80,ETS33,100,100,2
,02110777UL,UTS400NT ETS33 LSI 400A 3P LO UL,"$7,832.14 ",400,400A,NT,100,ETS33,65,35,2
,02110778UL,UTS400NT ETS33 LSI 250A 3P LO UL,"$7,832.14 ",400,250A,NT,100,ETS33,65,35,2
,02110785UL,UTS400HT ETS33 LSI 400A 3P LO UL,"$8,214.55 ",400,400A,HT,100,ETS33,100,65,2
,02110786UL,UTS400HT ETS33 LSI 250A 3P LO UL,"$8,214.55 ",400,250A,HT,100,ETS33,100,65,2
,02110793UL,UTS400LT ETS33 LSI 400A 3P LO UL,"$9,556.98 ",400,400A,LT,100,ETS33,100,100,2
,02110794UL,UTS400LT ETS33 LSI 250A 3P LO UL,"$9,556.98 ",400,250A,LT,100,ETS33,100,100,2
UTS600,02130013UL,UTS600N FTU 500A 3P LO UL,"$6,385.65 ",600,500A,N,80,FTU,65,35,2
,02130014UL,UTS600N FTU 600A 3P LO UL,"$6,385.65 ",600,600A,N,80,FTU,65,35,2
,02130017UL,UTS600N ATU 500A 3P LO UL,"$7,923.52 ",600,500A,N,80,ATU,65,35,2
,02130018UL,UTS600N ATU 600A 3P LO UL,"$7,923.52 ",600,600A,N,80,ATU,65,35,2
,02130037UL,UTS600H FTU 500A 3P LO UL,"$7,376.20 ",600,500A,H,80,FTU,100,65,2
,02130038UL,UTS600H FTU 600A 3P LO UL,"$7,376.20 ",600,600A,H,80,FTU,100,65,2
,02130041UL,UTS600H ATU 500A 3P LO UL,"$10,187.32 ",600,500A,H,80,ATU,100,65,2
,02130042UL,UTS600H ATU 600A 3P LO UL,"$10,187.32 ",600,600A,H,80,ATU,100,65,2
,02130061UL,UTS600L FTU 500A 3P LO UL,"$9,723.35 ",600,500A,L,80,FTU,100,100,2
,02130062UL,UTS600L FTU 600A 3P LO UL,"$9,723.35 ",600,600A,L,80,FTU,100,100,2
,02130065UL,UTS600L ATU 500A 3P LO UL,"$13,370.40 ",600,500A,L,80,ATU,100,100,2
,02130066UL,UTS600L ATU 600A 3P LO UL,"$13,370.40 ",600,600A,L,80,ATU,100,100,2
,02130113UL,UTS600NT FTU 500A 3P LO UL,"$7,023.70 ",600,500A,NT,100,FTU,65,35,2
,02130114UL,UTS600NT FTU 600A 3P LO UL,"$7,023.70 ",600,600A,NT,100,FTU,65,35,2
,02130117UL,UTS600NT ATU 500A 3P LO UL,"$8,716.12 ",600,500A,NT,100,ATU,65,35,2
,02130118UL,UTS600NT ATU 600A 3P LO UL,"$8,716.12 ",600,600A,NT,100,ATU,65,35,2
,02130137UL,UTS600HT FTU 500A 3P LO UL,"$8,114.38 ",600,500A,HT,100,FTU,100,65,2
,02130138UL,UTS600HT FTU 600A 3P LO UL,"$8,114.38 ",600,600A,HT,100,FTU,100,65,2
,02130141UL,UTS600HT ATU 500A 3P LO UL,"$11,205.66 ",600,500A,HT,100,ATU,100,65,2
,02130142UL,UTS600HT ATU 600A 3P LO UL,"$11,205.66 ",600,600A,HT,100,ATU,100,65,2
,02130161UL,UTS600LT FTU 500A 3P LO UL,"$10,695.72 ",600,500A,LT,100,FTU,100,100,2
,02130162UL,UTS600LT FTU 600A 3P LO UL,"$10,695.72 ",600,600A,LT,100,FTU,100,100,2
,02130165UL,UTS600LT ATU 500A 3P LO UL,"$14,707.62 ",600,500A,LT,100,ATU,100,100,2
,02130166UL,UTS600LT ATU 600A 3P LO UL,"$14,707.62 ",600,600A,LT,100,ATU,100,100,2
,02130779UL,UTS600N ETS33 LSI 600A 3P LO UL,"$10,823.74 ",600,600A,N,80,ETS33,65,35,2
,02130780UL,UTS600N ETS33 LSI 400A 3P LO UL,"$10,823.74 ",600,400A,N,80,ETS33,65,35,2
,02130791UL,UTS600H ETS33 LSI 600A 3P LO UL,"$12,129.17 ",600,600A,H,80,ETS33,100,65,2
,02130792UL,UTS600H ETS33 LSI 400A 3P LO UL,"$12,129.17 ",600,400A,H,80,ETS33,100,65,2
